Min,Max,Median,Mean,Point_id
0.6385162,0.83590466,0.79241234,0.7898843,26741814
0.21871714,0.4983181,0.33389974,0.33606365,26741986
0.6215738,0.8558904,0.7846068,0.78027433,26761786
0.37913594,0.57748735,0.47832233,0.47575796,26841764
0.13732004,0.25088635,0.1796102,0.1813774,26841826
0.08844313,0.13781334,0.11504227,0.11413271,26841944
0.13271245,0.37530267,0.19539757,0.20078005,26881988
0.4568753,0.8183432,0.6523838,0.6517426,27002038
0.4951752,0.8239422,0.7345289,0.70878774,27022016
0.25186414,0.5571831,0.3690992,0.36777446,27061758
0.22413793,0.42281243,0.34880483,0.33469287,27081954
0.1786155,0.5874851,0.41070175,0.38924146,27101964
0.58145213,0.8352362,0.80157,0.78644055,27122016
0.2059949,0.31589815,0.23223084,0.23376533,27141834
0.8324022,0.8915288,0.88003343,0.8778195,27141996
0.23384312,0.35956126,0.29783037,0.29701918,27161812
0.41396105,0.6101565,0.4825359,0.48635164,27162028
0.43658477,0.7329394,0.6638704,0.6639016,27181846
0.1897625,0.28680733,0.21092871,0.21475515,26821846
0.5030896,0.8661672,0.8337969,0.7896921,27001882
0.21558441,0.6963111,0.42624334,0.4240384,27241758
0.33560976,0.5720859,0.3768041,0.39787224,27241992
0.15045336,0.29810128,0.24926355,0.24178728,27281838
0.33139703,0.52110296,0.39679816,0.39481324,27302020
0.16187489,0.30281395,0.19264281,0.20157452,27341920
0.12901254,0.24879883,0.1920123,0.18893938,27361846
0.40672934,0.63405156,0.5649331,0.56454366,27382028
0.3655239,0.5562806,0.4420023,0.45186493,27422006
0.7034095,0.8859885,0.85801375,0.85194266,27422010
0.1144849,0.16741613,0.142159,0.14048596,27461842
0.105139576,0.18410257,0.1557124,0.15482543,27481840
0.26189798,0.57880527,0.42074484,0.41419408,27521880
0.4431318,0.65796745,0.5182913,0.5379243,27542110
,,,,27562118
0.14941843,0.2133602,0.18415351,0.18402241,27641832
0.23376933,0.39995363,0.33606744,0.3267646,27641896
0.11272727,0.6288747,0.1658237,0.19763666,27642102
0.2593674,0.60097456,0.40976834,0.41344494,27681762
0.7692873,0.82819974,0.7924612,0.79471576,27681946
0.14264376,0.28836834,0.16826043,0.16763246,27682212
0.29653838,0.43090454,0.36035186,0.3622855,27701754
0.1522124,0.4987715,0.43032348,0.40552664,27701848
0.68076736,0.8563218,0.83343875,0.8280285,27702222
0.17398119,0.88974315,0.22575387,0.34353197,27722228
0.29142526,0.48321247,0.31721035,0.3367221,27722242
0.20614783,0.3411012,0.24396642,0.24421915,27741916
0.10665881,0.20455503,0.16426234,0.16107276,27781902
0.09836066,0.3195818,0.20348476,0.2007861,27821842
0.32673845,0.563428,0.44810492,0.44971752,27821886
0.19222072,0.35274726,0.26911825,0.26543507,27841840
0.15496972,0.2942391,0.18415937,0.18733644,27881848
0.6446154,0.8215563,0.76622117,0.7577519,27901954
0.14477158,0.2235072,0.15736255,0.1629772,27961830
0.33894283,0.4682558,0.42627627,0.4219745,27961906
0.69793254,0.9122547,0.805449,0.8154212,27962406
0.21985473,0.48796374,0.26238915,0.27531412,28001832
0.36669195,0.48415816,0.43951875,0.4333722,28021894
0.114436135,0.39159524,0.28492576,0.27419105,28042126
0.20392749,0.27070144,0.24110174,0.24062175,28141834
0.44957983,0.8639767,0.83911055,0.8135729,28202116
0.26907843,0.4245182,0.32147744,0.32573396,28261954
,,,,28282118
0.46328503,0.68814635,0.5540905,0.56116545,28302110
0.37839335,0.68026257,0.45542866,0.46988463,28322046
0.19591546,0.47208777,0.25134104,0.2616044,28362030
0.50628275,0.59178084,0.5455779,0.54301214,28362220
0.3314917,0.4706516,0.40108985,0.40151587,28382362
0.41501296,0.53488374,0.493179,0.48908955,28402054
0.14334975,0.4479638,0.2941715,0.27738085,28421754
0.32743362,0.42865855,0.35037595,0.3589676,28422060
0.43665436,0.69787645,0.5540924,0.561121,28442182
0.36724404,0.6599953,0.5737995,0.56162614,28462070
0.038110826,0.073095106,0.04752074,0.04972816,28462348
0.68881685,764,0.72585577,0.7268166,28482290
0.113179326,0.2339681,0.13248858,0.13946173,28482368
0.32788855,0.657157,0.47566718,0.48415032,28501736
0.2124554,0.29757267,0.2526914,0.25368047,28521972
0.17340212,0.3232903,0.26747122,0.26291066,28542144
0.70523185,0.88237613,0.8220217,0.82185745,28542300
0.28982726,0.839691,0.68749404,0.62974304,28542382
0.035263196,0.060373887,0.044584114,0.045081787,28601668
0.27912366,0.41952258,0.3556443,0.35520902,28621900
0.08298279,0.20936902,0.10130715,0.11440273,28622044
0.66905105,0.771506,0.71810985,0.7213569,28622164
0.22516368,0.43698314,0.2844388,0.29259408,28642024
0.2771608,0.5380385,0.37597132,0.39250258,28642168
0.19806966,0.69177574,0.3709584,0.40660578,28642186
0.3364486,0.6638098,0.5612472,0.5511346,28642240
0.14117438,0.22026251,0.16031128,0.16251628,28661894
0.4066615,0.59670985,0.49993914,0.49707815,28081882
0.24929798,0.33313558,0.29731324,0.29398423,28361748
0.3291021,0.39893618,0.3766082,0.37209374,28581744
0.46935096,0.5729655,0.54872644,0.54482514,28681916
0.4040784,0.7997017,0.62285197,0.6246073,28682136
0.3222621,0.61806375,0.40658993,0.42152768,28682284
0.6165234,0.7513987,0.7182163,0.7085172,28682348
0.39936608,0.76337403,0.4671512,0.49422747,28702278
0.15251866,0.31334624,0.21004376,0.21262443,28721676
0.20991254,0.38798955,0.25896862,0.25569168,28721752
0.13774858,0.33091286,0.1742577,0.19777197,28721896
0.35510603,0.5418269,0.45689654,0.45219716,28722138
0.22983399,0.42294788,0.25803682,0.26729342,28741750
0.09093288,0.2109267,0.12103204,0.12611727,28742142
0.24612896,0.53139985,0.41201314,0.40496415,28742214
0.26298767,0.5349445,0.39368367,0.39773348,28742340
0.36782154,0.64370793,0.5436869,0.5477367,28762194
0.087971725,0.28227732,0.14136125,0.14429098,28781620
0.28678018,0.5962829,0.48356122,0.45392668,28782118
0.20051461,0.43768996,0.34857714,0.3489025,28782172
0.116710015,0.16852415,0.14568555,0.14480957,28801616
0.2086972,0.25599554,0.22254914,0.22308871,28801634
0.1584327,0.19689922,0.1741839,0.17524737,28802056
0.18744627,0.513431,0.23760608,0.24486195,28802092
0.14515778,0.23655686,0.17193142,0.1742923,28821646
0.46647996,0.85688376,0.81207365,0.79268616,28841702
0.13283624,0.32439977,0.21259332,0.2197012,28842188
0.30076405,0.45386267,0.36937416,0.36928326,28842200
0.16165192,0.20365395,0.17941262,0.18012244,28861884
0.3793799,0.5998128,0.51718193,0.5164947,28901658
0.15934898,0.210322,0.18367347,0.18620224,28901850
0.34495798,0.5267456,0.45061103,0.4436384,28901910
0.18043554,0.3329889,0.23177534,0.23762494,28902148
0.15534323,0.26062927,0.22047395,0.21503167,28902174
0.17509727,0.572645,0.2690065,0.32132155,28902202
0.24431951,0.69128096,488,0.4938328,28921702
0.49726775,0.7504736,0.67328566,0.66034484,28922062
0.82148695,0.924474,0.90612775,0.9000085,28922404
0.22729836,0.6254043,0.3727059,0.3864237,28941636
0.13073361,0.19514532,0.15137763,0.15375744,28941672
0.25005627,0.57763094,0.46768922,0.46766287,28941694
0.41396564,0.6703922,0.5460149,0.5454707,28941730
0.2264574,0.3209765,0.28477132,0.2822831,28941888
0.14236653,0.22682446,0.19792798,0.19667478,28961740
0.15555556,0.24789573,0.19592299,0.19817017,28961916
0.24676785,0.44249514,0.34010464,0.33337924,28962222
0.3930521,0.50263375,0.4462972,0.44063082,28962240
0.2789568,0.41419786,0.33736047,0.33688566,28982012
0.19409624,0.30201972,0.24846658,0.2525166,29001674
0.12345679,0.31663686,0.27526543,0.27021292,29001728
0.08318521,0.21031138,0.16058975,0.16008495,29001862
0.1340388,0.2678337,0.15532194,0.16340485,29001908
0.18797468,0.2590199,0.22640826,0.22464254,29021648
0.43625548,0.79103863,0.7164179,0.6970086,29021660
0.5269542,0.65574116,0.5956521,0.59173733,29021666
0.210121,0.46843293,0.24141176,0.25286165,29022110
0.7156968,0.84166837,0.7995055,0.79888916,29022398
0.43285716,0.5092817,0.463547,0.46461114,29041708
0.14534883,0.2812737,0.2251296,0.22056136,29041862
0.1386912,0.22429292,0.16095082,0.16595817,29041888
0.17508991,0.22460233,0.20886655,0.20848721,29041898
0.09688844,0.30824545,0.1347244,0.13951804,29081706
0.16337262,0.29614133,0.1965046,0.19786382,29081716
0.47674987,0.8116416,0.73674333,0.7201344,29102034
0.22116257,0.5522388,0.37265766,0.36803317,29102206
0.8805733,0.91626793,0.90133333,0.90139455,29122450
0.17162791,0.2174958,0.19683908,0.196328,29141956
0.23428331,0.34778276,0.2596006,0.2707629,29161738
0.15715402,0.26161057,0.17551683,0.1782135,29161918
0.7429194,0.84105587,0.7875751,0.7877092,29162260
0.15539703,0.3323988,0.21568033,0.2222026,29182186
